Year,Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,PTS,Diff,3pt_attempt_pct,year2,season_team,avg_3pt_attempted_per_game,avg_2pt_att_per_game,avg_fg_per_game
2024,2023-24,Boston Celtics,82,19830,3601,7396,49%,1351,3482,39%,2250,3914,58%,9887,-432,47%,23-24,23-24 Boston Celtics,42.46341463,47.73170732,90.19512195
2024,2023-24,Dallas Mavericks,82,19705,3535,7352,48%,1197,3242,37%,2338,4110,57%,9664,-868,44%,23-24,23-24 Dallas Mavericks,39.53658537,50.12195122,89.65853659
2024,2023-24,Sacramento Kings,82,19855,3553,7455,48%,1178,3219,37%,2375,4236,56%,9558,-1017,43%,23-24,23-24 Sacramento Kings,39.25609756,51.65853659,90.91463415
2024,2023-24,Milwaukee Bucks,82,19805,3538,7258,49%,1163,3122,37%,2375,4136,57%,9756,-1014,43%,23-24,23-24 Milwaukee Bucks,38.07317073,50.43902439,88.51219512
2024,2023-24,Memphis Grizzlies,82,19780,3145,7230,44%,1071,3097,35%,2074,4133,50%,8677,-1036,43%,23-24,23-24 Memphis Grizzlies,37.76829268,50.40243902,88.17073171
2024,2023-24,Golden State Warriors,82,19830,3582,7515,48%,1211,3191,38%,2371,4324,55%,9657,-1133,42%,23-24,23-24 Golden State Warriors,38.91463415,52.73170732,91.64634146
2024,2023-24,Cleveland Cavaliers,82,19805,3425,7148,48%,1108,3016,37%,2317,4132,56%,9236,-1116,42%,23-24,23-24 Cleveland Cavaliers,36.7804878,50.3902439,87.17073171
2024,2023-24,Brooklyn Nets,82,19805,3334,7307,46%,1089,3010,36%,2245,4297,52%,9050,-1287,41%,23-24,23-24 Brooklyn Nets,36.70731707,52.40243902,89.1097561
2024,2023-24,Atlanta Hawks,82,19855,3529,7584,47%,1125,3092,36%,2404,4492,54%,9703,-1400,41%,23-24,23-24 Atlanta Hawks,37.70731707,54.7804878,92.48780488
2024,2023-24,Utah Jazz,82,19805,3443,7371,47%,1060,2993,35%,2383,4378,54%,9484,-1385,41%,23-24,23-24 Utah Jazz,36.5,53.3902439,89.8902439
2024,2023-24,New York Knicks,82,19730,3385,7272,47%,1083,2936,37%,2302,4336,53%,9249,-1400,40%,23-24,23-24 New York Knicks,35.80487805,52.87804878,88.68292683
2024,2023-24,San Antonio Spurs,82,19830,3438,7436,46%,1036,2983,35%,2402,4453,54%,9192,-1470,40%,23-24,23-24 San Antonio Spurs,36.37804878,54.30487805,90.68292683
2024,2023-24,Houston Rockets,82,19855,3425,7459,46%,1043,2964,35%,2382,4495,53%,9375,-1531,40%,23-24,23-24 Houston Rockets,36.14634146,54.81707317,90.96341463
2024,2023-24,Miami Heat,82,19755,3266,7022,47%,1022,2765,37%,2244,4257,53%,9032,-1492,39%,23-24,23-24 Miami Heat,33.7195122,51.91463415,85.63414634
2024,2023-24,Charlotte Hornets,82,19730,3281,7133,46%,989,2788,36%,2292,4345,53%,8740,-1557,39%,23-24,23-24 Charlotte Hornets,34,52.98780488,86.98780488
2024,2023-24,Washington Wizards,82,19730,3523,7493,47%,1015,2915,35%,2508,4578,55%,9327,-1663,39%,23-24,23-24 Washington Wizards,35.54878049,55.82926829,91.37804878
2024,2023-24,Minnesota Timberwolves,82,19805,3383,6974,49%,1037,2681,39%,2346,4293,55%,9264,-1612,38%,23-24,23-24 Minnesota Timberwolves,32.69512195,52.35365854,85.04878049
2024,2023-24,Oklahoma City Thunder,82,19805,3653,7324,50%,1090,2805,39%,2563,4519,57%,9847,-1714,38%,23-24,23-24 Oklahoma City Thunder,34.20731707,55.1097561,89.31707317
2024,2023-24,Los Angeles Clippers,82,19705,3473,7108,49%,1036,2719,38%,2437,4389,56%,9481,-1670,38%,23-24,23-24 Los Angeles Clippers,33.15853659,53.52439024,86.68292683
2024,2023-24,Indiana Pacers,82,19705,3855,7599,51%,1082,2891,37%,2773,4708,59%,10110,-1817,38%,23-24,23-24 Indiana Pacers,35.25609756,57.41463415,92.67073171
2024,2023-24,Phoenix Suns,82,19780,3482,7063,49%,1020,2671,38%,2462,4392,56%,9532,-1721,38%,23-24,23-24 Phoenix Suns,32.57317073,53.56097561,86.13414634
2024,2023-24,New Orleans Pelicans,82,19705,3484,7165,49%,1023,2673,38%,2461,4492,55%,9436,-1819,37%,23-24,23-24 New Orleans Pelicans,32.59756098,54.7804878,87.37804878
2024,2023-24,Philadelphia 76ers,82,19780,3404,7331,46%,992,2733,36%,2412,4598,53%,9397,-1865,37%,23-24,23-24 Philadelphia 76ers,33.32926829,56.07317073,89.40243902
2024,2023-24,Portland Trail Blazers,82,19880,3227,7356,44%,939,2723,35%,2288,4633,49%,8722,-1910,37%,23-24,23-24 Portland Trail Blazers,33.20731707,56.5,89.70731707
2024,2023-24,Orlando Magic,82,19780,3318,6964,48%,903,2568,35%,2415,4396,55%,9058,-1828,37%,23-24,23-24 Orlando Magic,31.31707317,53.6097561,84.92682927
2024,2023-24,Toronto Raptors,82,19805,3466,7356,47%,942,2712,35%,2524,4644,54%,9213,-1932,37%,23-24,23-24 Toronto Raptors,33.07317073,56.63414634,89.70731707
2024,2023-24,Detroit Pistons,82,19755,3353,7236,46%,906,2602,35%,2447,4634,53%,9010,-2032,36%,23-24,23-24 Detroit Pistons,31.73170732,56.51219512,88.24390244
2024,2023-24,Los Angeles Lakers,82,19855,3580,7177,50%,969,2572,38%,2611,4605,57%,9679,-2033,36%,23-24,23-24 Los Angeles Lakers,31.36585366,56.15853659,87.52439024
2024,2023-24,Chicago Bulls,82,19980,3448,7339,47%,941,2630,36%,2507,4709,53%,9206,-2079,36%,23-24,23-24 Chicago Bulls,32.07317073,57.42682927,89.5
2024,2023-24,Denver Nuggets,82,19705,3610,7279,50%,958,2560,37%,2652,4719,56%,9418,-2159,35%,23-24,23-24 Denver Nuggets,31.2195122,57.54878049,88.76829268
2023,2022-23,Sacramento Kings,82,19830,3573,7232,49%,1128,3060,37%,2445,4172,59%,9898,-1112,42%,22-23,22-23 Sacramento Kings,37.31707317,50.87804878,88.19512195
2023,2022-23,Golden State Warriors,82,19830,3538,7393,48%,1363,3540,39%,2175,3853,56%,9753,-313,48%,22-23,22-23 Golden State Warriors,43.17073171,46.98780488,90.15853659
2023,2022-23,Atlanta Hawks,82,19855,3658,7574,48%,882,2505,35%,2776,5069,55%,9711,-2564,33%,22-23,22-23 Atlanta Hawks,30.54878049,61.81707317,92.36585366
2023,2022-23,Boston Celtics,82,19980,3460,7278,48%,1315,3492,38%,2145,3786,57%,9671,-294,48%,22-23,22-23 Boston Celtics,42.58536585,46.17073171,88.75609756
2023,2022-23,Oklahoma City Thunder,82,19855,3533,7590,47%,995,2797,36%,2538,4793,53%,9633,-1996,37%,22-23,22-23 Oklahoma City Thunder,34.1097561,58.45121951,92.56097561
2023,2022-23,Los Angeles Lakers,82,19880,3516,7298,48%,885,2558,35%,2631,4740,56%,9608,-2182,35%,22-23,22-23 Los Angeles Lakers,31.19512195,57.80487805,89
2023,2022-23,Utah Jazz,82,19805,3485,7365,47%,1094,3099,35%,2391,4266,56%,9600,-1167,42%,22-23,22-23 Utah Jazz,37.79268293,52.02439024,89.81707317
2023,2022-23,Milwaukee Bucks,82,19830,3504,7411,47%,1217,3306,37%,2287,4105,56%,9589,-799,45%,22-23,22-23 Milwaukee Bucks,40.31707317,50.06097561,90.37804878
2023,2022-23,Memphis Grizzlies,82,19780,3585,7551,48%,985,2807,35%,2600,4744,55%,9587,-1937,37%,22-23,22-23 Memphis Grizzlies,34.23170732,57.85365854,92.08536585
2023,2022-23,Indiana Pacers,82,19755,3444,7345,47%,1112,3030,37%,2332,4315,54%,9535,-1285,41%,22-23,22-23 Indiana Pacers,36.95121951,52.62195122,89.57317073
2023,2022-23,New York Knicks,82,19955,3444,7328,47%,1037,2930,35%,2407,4398,55%,9514,-1468,40%,22-23,22-23 New York Knicks,35.73170732,53.63414634,89.36585366
2023,2022-23,Denver Nuggets,82,19755,3574,7088,50%,969,2559,38%,2605,4529,58%,9495,-1970,36%,22-23,22-23 Denver Nuggets,31.20731707,55.23170732,86.43902439
2023,2022-23,Minnesota Timberwolves,82,19830,3515,7167,49%,997,2731,37%,2518,4436,57%,9494,-1705,38%,22-23,22-23 Minnesota Timberwolves,33.30487805,54.09756098,87.40243902
2023,2022-23,Philadelphia 76ers,82,19880,3347,6870,49%,1035,2675,39%,2312,4195,55%,9448,-1520,39%,22-23,22-23 Philadelphia 76ers,32.62195122,51.15853659,83.7804878
2023,2022-23,New Orleans Pelicans,82,19855,3447,7180,48%,899,2468,36%,2548,4712,54%,9378,-2244,34%,22-23,22-23 New Orleans Pelicans,30.09756098,57.46341463,87.56097561
2023,2022-23,Dallas Mavericks,82,19930,3283,6909,48%,1246,3362,37%,2037,3547,57%,9366,-185,49%,22-23,22-23 Dallas Mavericks,41,43.25609756,84.25609756
2023,2022-23,Phoenix Suns,82,19780,3453,7388,47%,1001,2674,37%,2452,4714,52%,9319,-2040,36%,22-23,22-23 Phoenix Suns,32.6097561,57.48780488,90.09756098
2023,2022-23,Los Angeles Clippers,82,19830,3370,7059,48%,1041,2735,38%,2329,4324,54%,9314,-1589,39%,22-23,22-23 Los Angeles Clippers,33.35365854,52.73170732,86.08536585
2023,2022-23,Portland Trail Blazers,82,19730,3317,7001,47%,1056,2893,37%,2261,4108,55%,9299,-1215,41%,22-23,22-23 Portland Trail Blazers,35.2804878,50.09756098,85.37804878
2023,2022-23,Brooklyn Nets,82,19730,3399,6978,49%,1048,2771,38%,2351,4207,56%,9295,-1436,40%,22-23,22-23 Brooklyn Nets,33.79268293,51.30487805,85.09756098
2023,2022-23,Washington Wizards,82,19755,3456,7127,49%,925,2601,36%,2531,4526,56%,9279,-1925,36%,22-23,22-23 Washington Wizards,31.7195122,55.19512195,86.91463415
2023,2022-23,Chicago Bulls,82,19905,3488,7116,49%,854,2367,36%,2634,4749,56%,9276,-2382,33%,22-23,22-23 Chicago Bulls,28.86585366,57.91463415,86.7804878
2023,2022-23,San Antonio Spurs,82,19855,3533,7593,47%,911,2640,35%,2622,4953,53%,9269,-2313,35%,22-23,22-23 San Antonio Spurs,32.19512195,60.40243902,92.59756098
2023,2022-23,Toronto Raptors,82,19805,3434,7489,46%,880,2626,34%,2554,4863,53%,9254,-2237,35%,22-23,22-23 Toronto Raptors,32.02439024,59.30487805,91.32926829
2023,2022-23,Cleveland Cavaliers,82,19880,3408,6984,49%,950,2589,37%,2458,4395,56%,9205,-1806,37%,22-23,22-23 Cleveland Cavaliers,31.57317073,53.59756098,85.17073171
2023,2022-23,Orlando Magic,82,19780,3323,7074,47%,883,2551,35%,2440,4523,54%,9136,-1972,36%,22-23,22-23 Orlando Magic,31.1097561,55.15853659,86.26829268
2023,2022-23,Charlotte Hornets,82,19830,3385,7413,46%,881,2669,33%,2504,4744,53%,9098,-2075,36%,22-23,22-23 Charlotte Hornets,32.54878049,57.85365854,90.40243902
2023,2022-23,Houston Rockets,82,19755,3329,7287,46%,856,2619,33%,2473,4668,53%,9081,-2049,36%,22-23,22-23 Houston Rockets,31.93902439,56.92682927,88.86585366
2023,2022-23,Detroit Pistons,82,19805,3244,7140,45%,934,2659,35%,2310,4481,52%,9045,-1822,37%,22-23,22-23 Detroit Pistons,32.42682927,54.64634146,87.07317073
2023,2022-23,Miami Heat,82,19805,3215,6991,46%,980,2852,34%,2235,4139,54%,8977,-1287,41%,22-23,22-23 Miami Heat,34.7804878,50.47560976,85.25609756
2022,2021-22,Minnesota Timberwolves,82,19780,3411,7458,46%,1211,3386,36%,2200,4072,54%,9507,-686,45%,21-22,21-22 Minnesota Timberwolves,41.29268293,49.65853659,90.95121951
2022,2021-22,Memphis Grizzlies,82,19780,3571,7739,46%,945,2679,35%,2626,5060,52%,9480,-2381,35%,21-22,21-22 Memphis Grizzlies,32.67073171,61.70731707,94.37804878
2022,2021-22,Milwaukee Bucks,82,19755,3429,7331,47%,1153,3151,37%,2276,4180,54%,9470,-1029,43%,21-22,21-22 Milwaukee Bucks,38.42682927,50.97560976,89.40243902
2022,2021-22,Charlotte Hornets,82,19880,3508,7497,47%,1143,3130,37%,2365,4367,54%,9457,-1237,42%,21-22,21-22 Charlotte Hornets,38.17073171,53.25609756,91.42682927
2022,2021-22,Phoenix Suns,82,19730,3581,7389,49%,951,2616,36%,2630,4773,55%,9416,-2157,35%,21-22,21-22 Phoenix Suns,31.90243902,58.20731707,90.1097561
2022,2021-22,Atlanta Hawks,82,19705,3401,7241,47%,1056,2821,37%,2345,4420,53%,9343,-1599,39%,21-22,21-22 Atlanta Hawks,34.40243902,53.90243902,88.30487805
2022,2021-22,Utah Jazz,82,19730,3327,7067,47%,1192,3308,36%,2135,3759,57%,9316,-451,47%,21-22,21-22 Utah Jazz,40.34146341,45.84146341,86.18292683
2022,2021-22,San Antonio Spurs,82,19805,3546,7601,47%,925,2626,35%,2621,4975,53%,9279,-2349,35%,21-22,21-22 San Antonio Spurs,32.02439024,60.67073171,92.69512195
2022,2021-22,Brooklyn Nets,82,19755,3442,7251,48%,940,2602,36%,2502,4649,54%,9258,-2047,36%,21-22,21-22 Brooklyn Nets,31.73170732,56.69512195,88.42682927
2022,2021-22,Denver Nuggets,82,19805,3416,7079,48%,1039,2944,35%,2377,4135,58%,9243,-1191,42%,21-22,21-22 Denver Nuggets,35.90243902,50.42682927,86.32926829
2022,2021-22,Los Angeles Lakers,82,19980,3415,7279,47%,982,2826,35%,2433,4453,55%,9192,-1627,39%,21-22,21-22 Los Angeles Lakers,34.46341463,54.30487805,88.76829268
2022,2021-22,Boston Celtics,82,19905,3341,7167,47%,1085,3044,36%,2256,4123,55%,9164,-1079,42%,21-22,21-22 Boston Celtics,37.12195122,50.2804878,87.40243902
2022,2021-22,Chicago Bulls,82,19730,3422,7127,48%,872,2364,37%,2550,4763,54%,9152,-2399,33%,21-22,21-22 Chicago Bulls,28.82926829,58.08536585,86.91463415
2022,2021-22,Indiana Pacers,82,19880,3398,7338,46%,997,2899,34%,2401,4439,54%,9140,-1540,40%,21-22,21-22 Indiana Pacers,35.35365854,54.13414634,89.48780488
2022,2021-22,Golden State Warriors,82,19730,3323,7087,47%,1176,3231,36%,2147,3856,56%,9102,-625,46%,21-22,21-22 Golden State Warriors,39.40243902,47.02439024,86.42682927
2022,2021-22,Sacramento Kings,82,19805,3321,7223,46%,937,2722,34%,2384,4501,53%,9045,-1779,38%,21-22,21-22 Sacramento Kings,33.19512195,54.8902439,88.08536585
2022,2021-22,Miami Heat,82,19855,3246,6954,47%,1114,2936,38%,2132,4018,53%,9022,-1082,42%,21-22,21-22 Miami Heat,35.80487805,49,84.80487805
2022,2021-22,Philadelphia 76ers,82,19805,3230,6932,47%,950,2608,36%,2280,4324,53%,9015,-1716,38%,21-22,21-22 Philadelphia 76ers,31.80487805,52.73170732,84.53658537
2022,2021-22,Houston Rockets,82,19755,3229,7083,46%,1105,3170,35%,2124,3913,54%,8997,-743,45%,21-22,21-22 Houston Rockets,38.65853659,47.7195122,86.37804878
2022,2021-22,Toronto Raptors,82,19855,3332,7489,45%,979,2808,35%,2353,4681,50%,8970,-1873,37%,21-22,21-22 Toronto Raptors,34.24390244,57.08536585,91.32926829
2022,2021-22,New Orleans Pelicans,82,19755,3294,7212,46%,873,2629,33%,2421,4583,53%,8962,-1954,36%,21-22,21-22 New Orleans Pelicans,32.06097561,55.8902439,87.95121951
2022,2021-22,Washington Wizards,82,19830,3327,7056,47%,860,2512,34%,2467,4544,54%,8907,-2032,36%,21-22,21-22 Washington Wizards,30.63414634,55.41463415,86.04878049
2022,2021-22,Los Angeles Clippers,82,19780,3285,7170,46%,1047,2802,37%,2238,4368,51%,8890,-1566,39%,21-22,21-22 Los Angeles Clippers,34.17073171,53.26829268,87.43902439
2022,2021-22,Dallas Mavericks,82,19755,3222,6982,46%,1073,3063,35%,2149,3919,55%,8858,-856,44%,21-22,21-22 Dallas Mavericks,37.35365854,47.79268293,85.14634146
2022,2021-22,Cleveland Cavaliers,82,19730,3255,6940,47%,953,2686,36%,2302,4254,54%,8839,-1568,39%,21-22,21-22 Cleveland Cavaliers,32.75609756,51.87804878,84.63414634
2022,2021-22,New York Knicks,82,19780,3088,7069,44%,1082,3029,36%,2006,4040,50%,8731,-1011,43%,21-22,21-22 New York Knicks,36.93902439,49.26829268,86.20731707
2022,2021-22,Portland Trail Blazers,82,19730,3161,7144,44%,1043,3017,35%,2118,4127,51%,8711,-1110,42%,21-22,21-22 Portland Trail Blazers,36.79268293,50.32926829,87.12195122
2022,2021-22,Detroit Pistons,82,19780,3129,7267,43%,925,2838,33%,2204,4429,50%,8596,-1591,39%,21-22,21-22 Detroit Pistons,34.6097561,54.01219512,88.62195122
2022,2021-22,Orlando Magic,82,19780,3139,7240,43%,999,3022,33%,2140,4218,51%,8547,-1196,42%,21-22,21-22 Orlando Magic,36.85365854,51.43902439,88.29268293
2022,2021-22,Oklahoma City Thunder,82,19805,3141,7310,43%,991,3066,32%,2150,4244,51%,8506,-1178,42%,21-22,21-22 Oklahoma City Thunder,37.3902439,51.75609756,89.14634146
2021,2020-21,Milwaukee Bucks,72,17330,3221,6610,49%,1038,2669,39%,2183,3941,55%,8649,-1272,40%,20-21,20-21 Milwaukee Bucks,37.06944444,54.73611111,91.80555556
2021,2020-21,Brooklyn Nets,72,17405,3106,6289,49%,1020,2600,39%,2086,3689,57%,8537,-1089,41%,20-21,20-21 Brooklyn Nets,36.11111111,51.23611111,87.34722222
2021,2020-21,Washington Wizards,72,17405,3108,6547,48%,733,2088,35%,2375,4459,53%,8398,-2371,32%,20-21,20-21 Washington Wizards,29,61.93055556,90.93055556
2021,2020-21,Utah Jazz,72,17355,2971,6344,47%,1205,3098,39%,1766,3246,54%,8382,-148,49%,20-21,20-21 Utah Jazz,43.02777778,45.08333333,88.11111111
2021,2020-21,Portland Trail Blazers,72,17305,2973,6558,45%,1132,2939,39%,1841,3619,51%,8360,-680,45%,20-21,20-21 Portland Trail Blazers,40.81944444,50.26388889,91.08333333
2021,2020-21,Indiana Pacers,72,17455,3115,6567,47%,889,2445,36%,2226,4122,54%,8302,-1677,37%,20-21,20-21 Indiana Pacers,33.95833333,57.25,91.20833333
2021,2020-21,Phoenix Suns,72,17480,3118,6357,49%,940,2490,38%,2178,3867,56%,8300,-1377,39%,20-21,20-21 Phoenix Suns,34.58333333,53.70833333,88.29166667
2021,2020-21,Denver Nuggets,72,17480,3114,6422,49%,927,2462,38%,2187,3960,55%,8284,-1498,38%,20-21,20-21 Denver Nuggets,34.19444444,55,89.19444444
2021,2020-21,New Orleans Pelicans,72,17430,3060,6412,48%,762,2190,35%,2298,4222,54%,8251,-2032,34%,20-21,20-21 New Orleans Pelicans,30.41666667,58.63888889,89.05555556
2021,2020-21,Los Angeles Clippers,72,17280,3009,6242,48%,1027,2498,41%,1982,3744,53%,8209,-1246,40%,20-21,20-21 Los Angeles Clippers,34.69444444,52,86.69444444
2021,2020-21,Sacramento Kings,72,17305,3067,6382,48%,874,2400,36%,2193,3982,55%,8189,-1582,38%,20-21,20-21 Sacramento Kings,33.33333333,55.30555556,88.63888889
2021,2020-21,Golden State Warriors,72,17305,2973,6347,47%,1048,2789,38%,1925,3558,54%,8187,-769,44%,20-21,20-21 Golden State Warriors,38.73611111,49.41666667,88.15277778
2021,2020-21,Atlanta Hawks,72,17405,2937,6281,47%,895,2402,37%,2042,3879,53%,8186,-1477,38%,20-21,20-21 Atlanta Hawks,33.36111111,53.875,87.23611111
2021,2020-21,Philadelphia 76ers,72,17430,2981,6257,48%,811,2169,37%,2170,4088,53%,8182,-1919,35%,20-21,20-21 Philadelphia 76ers,30.125,56.77777778,86.90277778
2021,2020-21,Memphis Grizzlies,72,17405,3085,6608,47%,803,2258,36%,2282,4350,53%,8157,-2092,34%,20-21,20-21 Memphis Grizzlies,31.36111111,60.41666667,91.77777778
2021,2020-21,Boston Celtics,72,17380,2985,6401,47%,979,2618,37%,2006,3783,53%,8109,-1165,41%,20-21,20-21 Boston Celtics,36.36111111,52.54166667,88.90277778
2021,2020-21,Dallas Mavericks,72,17305,2958,6287,47%,994,2744,36%,1964,3543,55%,8096,-799,44%,20-21,20-21 Dallas Mavericks,38.11111111,49.20833333,87.31944444
2021,2020-21,Minnesota Timberwolves,72,17405,2932,6546,45%,944,2706,35%,1988,3840,52%,8073,-1134,41%,20-21,20-21 Minnesota Timberwolves,37.58333333,53.33333333,90.91666667
2021,2020-21,Toronto Raptors,72,17305,2859,6383,45%,1041,2831,37%,1818,3552,51%,8011,-721,44%,20-21,20-21 Toronto Raptors,39.31944444,49.33333333,88.65277778
2021,2020-21,San Antonio Spurs,72,17480,3014,6518,46%,716,2046,35%,2298,4472,51%,7998,-2426,31%,20-21,20-21 San Antonio Spurs,28.41666667,62.11111111,90.52777778
2021,2020-21,Chicago Bulls,72,17380,3035,6380,48%,904,2446,37%,2131,3934,54%,7969,-1488,38%,20-21,20-21 Chicago Bulls,33.97222222,54.63888889,88.61111111
2021,2020-21,Los Angeles Lakers,72,17455,2925,6197,47%,796,2248,35%,2129,3949,54%,7887,-1701,36%,20-21,20-21 Los Angeles Lakers,31.22222222,54.84722222,86.06944444
2021,2020-21,Charlotte Hornets,72,17355,2875,6324,46%,985,2666,37%,1890,3658,52%,7881,-992,42%,20-21,20-21 Charlotte Hornets,37.02777778,50.80555556,87.83333333
2021,2020-21,Houston Rockets,72,17305,2826,6372,44%,992,2923,34%,1834,3449,53%,7833,-526,46%,20-21,20-21 Houston Rockets,40.59722222,47.90277778,88.5
2021,2020-21,Miami Heat,72,17380,2824,6029,47%,932,2606,36%,1892,3423,55%,7781,-817,43%,20-21,20-21 Miami Heat,36.19444444,47.54166667,83.73611111
2021,2020-21,New York Knicks,72,17430,2839,6225,46%,847,2163,39%,1992,4062,49%,7706,-1899,35%,20-21,20-21 New York Knicks,30.04166667,56.41666667,86.45833333
2021,2020-21,Detroit Pistons,72,17430,2783,6162,45%,832,2370,35%,1951,3792,52%,7676,-1422,38%,20-21,20-21 Detroit Pistons,32.91666667,52.66666667,85.58333333
2021,2020-21,Oklahoma City Thunder,72,17355,2795,6338,44%,857,2529,34%,1938,3809,51%,7560,-1280,40%,20-21,20-21 Oklahoma City Thunder,35.125,52.90277778,88.02777778
2021,2020-21,Orlando Magic,72,17330,2754,6423,43%,784,2288,34%,1970,4135,48%,7488,-1847,36%,20-21,20-21 Orlando Magic,31.77777778,57.43055556,89.20833333
2021,2020-21,Cleveland Cavaliers,72,17430,2778,6175,45%,720,2141,34%,2058,4034,51%,7476,-1893,35%,20-21,20-21 Cleveland Cavaliers,29.73611111,56.02777778,85.76388889
2020,2019-20,Dallas Mavericks,75,18175,3124,6772,46%,1136,3095,37%,1988,3677,54%,8776,-582,46%,19-20,19-20 Dallas Mavericks,41.26666667,49.02666667,90.29333333
2020,2019-20,Milwaukee Bucks,73,17595,3160,6638,48%,1007,2840,36%,2153,3798,57%,8663,-958,43%,19-20,19-20 Milwaukee Bucks,38.90410959,52.02739726,90.93150685
2020,2019-20,Portland Trail Blazers,74,17835,3122,6749,46%,952,2525,38%,2170,4224,51%,8508,-1699,37%,19-20,19-20 Portland Trail Blazers,34.12162162,57.08108108,91.2027027
2020,2019-20,Houston Rockets,72,17380,2936,6512,45%,1126,3261,35%,1810,3251,56%,8482,10,50%,19-20,19-20 Houston Rockets,45.29166667,45.15277778,90.44444444
2020,2019-20,Los Angeles Clippers,72,17380,2992,6425,47%,895,2410,37%,2097,4015,52%,8377,-1605,38%,19-20,19-20 Los Angeles Clippers,33.47222222,55.76388889,89.23611111
2020,2019-20,New Orleans Pelicans,72,17430,3065,6598,47%,982,2656,37%,2083,3942,53%,8341,-1286,40%,19-20,19-20 New Orleans Pelicans,36.88888889,54.75,91.63888889
2020,2019-20,Phoenix Suns,73,17595,3006,6429,47%,831,2320,36%,2175,4109,53%,8294,-1789,36%,19-20,19-20 Phoenix Suns,31.78082192,56.28767123,88.06849315
2020,2019-20,Washington Wizards,72,17355,2990,6544,46%,864,2345,37%,2126,4199,51%,8238,-1854,36%,19-20,19-20 Washington Wizards,32.56944444,58.31944444,90.88888889
2020,2019-20,Memphis Grizzlies,73,17570,3106,6634,47%,798,2297,35%,2308,4337,53%,8222,-2040,35%,19-20,19-20 Memphis Grizzlies,31.46575342,59.4109589,90.87671233
2020,2019-20,Boston Celtics,72,17430,2971,6448,46%,905,2487,36%,2066,3961,52%,8183,-1474,39%,19-20,19-20 Boston Celtics,34.54166667,55.01388889,89.55555556
2020,2019-20,Miami Heat,73,17745,2880,6160,47%,979,2584,38%,1901,3576,53%,8179,-992,42%,19-20,19-20 Miami Heat,35.39726027,48.98630137,84.38356164
2020,2019-20,Denver Nuggets,73,17745,3069,6488,47%,801,2234,36%,2268,4254,53%,8124,-2020,34%,19-20,19-20 Denver Nuggets,30.60273973,58.2739726,88.87671233
2020,2019-20,Toronto Raptors,72,17380,2897,6331,46%,995,2663,37%,1902,3668,52%,8118,-1005,42%,19-20,19-20 Toronto Raptors,36.98611111,50.94444444,87.93055556
2020,2019-20,San Antonio Spurs,71,17215,2995,6350,47%,760,2021,38%,2235,4329,52%,8098,-2308,32%,19-20,19-20 San Antonio Spurs,28.46478873,60.97183099,89.43661972
2020,2019-20,Philadelphia 76ers,73,17595,3000,6417,47%,848,2307,37%,2152,4110,52%,8084,-1803,36%,19-20,19-20 Philadelphia 76ers,31.60273973,56.30136986,87.90410959
2020,2019-20,Los Angeles Lakers,71,17090,3006,6269,48%,782,2242,35%,2224,4027,55%,8054,-1785,36%,19-20,19-20 Los Angeles Lakers,31.57746479,56.71830986,88.29577465
2020,2019-20,Brooklyn Nets,72,17480,2908,6498,45%,941,2746,34%,1967,3752,52%,8048,-1006,42%,19-20,19-20 Brooklyn Nets,38.13888889,52.11111111,90.25
2020,2019-20,Utah Jazz,72,17355,2886,6130,47%,963,2537,38%,1923,3593,54%,8013,-1056,41%,19-20,19-20 Utah Jazz,35.23611111,49.90277778,85.13888889
2020,2019-20,Indiana Pacers,73,17620,3075,6457,48%,743,2046,36%,2332,4411,53%,7989,-2365,32%,19-20,19-20 Indiana Pacers,28.02739726,60.42465753,88.45205479
2020,2019-20,Oklahoma City Thunder,72,17430,2879,6156,47%,770,2171,36%,2109,3985,53%,7950,-1814,35%,19-20,19-20 Oklahoma City Thunder,30.15277778,55.34722222,85.5
2020,2019-20,Sacramento Kings,72,17455,2943,6364,46%,914,2511,36%,2029,3853,53%,7927,-1342,39%,19-20,19-20 Sacramento Kings,34.875,53.51388889,88.38888889
2020,2019-20,Orlando Magic,73,17570,2871,6468,44%,807,2354,34%,2064,4114,50%,7831,-1760,36%,19-20,19-20 Orlando Magic,32.24657534,56.35616438,88.60273973
2020,2019-20,Atlanta Hawks,67,16280,2723,6067,45%,805,2416,33%,1918,3651,53%,7488,-1235,40%,19-20,19-20 Atlanta Hawks,36.05970149,54.49253731,90.55223881
2020,2019-20,Minnesota Timberwolves,64,15560,2586,5865,44%,853,2540,34%,1733,3325,52%,7248,-785,43%,19-20,19-20 Minnesota Timberwolves,39.6875,51.953125,91.640625
2020,2019-20,Detroit Pistons,66,15965,2595,5658,46%,791,2157,37%,1804,3501,52%,7078,-1344,38%,19-20,19-20 Detroit Pistons,32.68181818,53.04545455,85.72727273
2020,2019-20,New York Knicks,66,15965,2638,5896,45%,631,1872,34%,2007,4024,50%,6983,-2152,32%,19-20,19-20 New York Knicks,28.36363636,60.96969697,89.33333333
2020,2019-20,Cleveland Cavaliers,65,15725,2619,5715,46%,727,2070,35%,1892,3645,52%,6948,-1575,36%,19-20,19-20 Cleveland Cavaliers,31.84615385,56.07692308,87.92307692
